epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5140.67,1.02637,0.91826,1.504,0.81505,0.67667,0.7261,0.41292,1.67324,1.17897,2.51802,0.001416,0.001416,0.001416
82,5204.12,1.02099,0.90887,1.50034,0.79623,0.69142,0.72663,0.41198,1.67587,1.17762,2.52257,0.0013962,0.0013962,0.0013962
83,5267.24,1.01231,0.89814,1.48647,0.79884,0.68399,0.72536,0.41089,1.67707,1.17631,2.52762,0.0013764,0.0013764,0.0013764
84,5330.54,1.00334,0.88531,1.47919,0.81036,0.67922,0.72744,0.41019,1.67519,1.17477,2.52751,0.0013566,0.0013566,0.0013566
85,5393.7,0.99881,0.89278,1.48102,0.8159,0.67832,0.72555,0.40962,1.67553,1.17628,2.53151,0.0013368,0.0013368,0.0013368
86,5456.92,1.00319,0.88805,1.4789,0.80706,0.68316,0.72587,0.41073,1.67473,1.17428,2.53611,0.001317,0.001317,0.001317
87,5520.24,0.99045,0.88006,1.47483,0.81905,0.67889,0.72709,0.41063,1.67581,1.17219,2.54227,0.0012972,0.0012972,0.0012972
88,5583.47,0.98193,0.86006,1.46637,0.81721,0.68131,0.72796,0.41069,1.67786,1.16794,2.54966,0.0012774,0.0012774,0.0012774
89,5646.69,0.98146,0.86473,1.46415,0.81478,0.68362,0.72959,0.40928,1.67845,1.16688,2.55447,0.0012576,0.0012576,0.0012576
90,5709.92,0.97747,0.86479,1.45769,0.81051,0.68477,0.72873,0.40911,1.67954,1.16356,2.56035,0.0012378,0.0012378,0.0012378
91,5773.11,0.97082,0.85101,1.45865,0.80827,0.68575,0.72993,0.4096,1.68094,1.16317,2.56609,0.001218,0.001218,0.001218
92,5836.36,0.96502,0.85702,1.44939,0.78865,0.69792,0.7286,0.40838,1.68245,1.16079,2.57171,0.0011982,0.0011982,0.0011982
93,5899.41,0.97247,0.85588,1.45066,0.7901,0.69373,0.72727,0.40853,1.68445,1.15991,2.57732,0.0011784,0.0011784,0.0011784
94,5962.48,0.95291,0.82974,1.43814,0.79212,0.69559,0.72905,0.40854,1.68429,1.1611,2.57994,0.0011586,0.0011586,0.0011586
95,6025.71,0.96187,0.83651,1.44737,0.80037,0.69214,0.72869,0.40848,1.68504,1.16126,2.58355,0.0011388,0.0011388,0.0011388
96,6089.09,0.94954,0.83372,1.44146,0.80536,0.69068,0.7294,0.40848,1.6868,1.16218,2.58876,0.001119,0.001119,0.001119
97,6152.51,0.95085,0.83341,1.43769,0.80619,0.68856,0.72982,0.40835,1.68851,1.16156,2.59438,0.0010992,0.0010992,0.0010992
98,6215.72,0.94707,0.82502,1.42962,0.79785,0.69244,0.73019,0.40894,1.69041,1.1616,2.59938,0.0010794,0.0010794,0.0010794
99,6278.78,0.94095,0.8136,1.42397,0.80089,0.6916,0.73005,0.40911,1.69016,1.16295,2.60176,0.0010596,0.0010596,0.0010596
100,6341.99,0.93118,0.81117,1.41996,0.80403,0.68639,0.72946,0.40878,1.68998,1.16303,2.60447,0.0010398,0.0010398,0.0010398
101,6405.23,0.93126,0.81014,1.42239,0.80076,0.69186,0.73069,0.40863,1.69088,1.16238,2.6086,0.00102,0.00102,0.00102
